mode,threads,gm_name,gm_path,map_name,map_path,alg1_name,alg1_path,alg2_name,alg2_path,start_utc,end_utc,wall_ms,exit_code,max_rss_kb,stdout_len,stderr_len
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:21:40Z,2025-08-22T11:21:42Z,2163,0,4556,1330,0
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:21:43Z,2025-08-22T11:21:44Z,1747,0,4596,1330,0
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:21:45Z,2025-08-22T11:21:48Z,2577,0,4436,993,0
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:21:48Z,2025-08-22T11:21:51Z,3386,0,4620,993,0
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:21:52Z,2025-08-22T11:21:53Z,1050,0,4432,1845,0
comparative,1,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_c.txt,tests/maps/input_c.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:21:53Z,2025-08-22T11:21:55Z,1338,0,4480,1845,0
comparative,2,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:21:55Z,2025-08-22T11:21:57Z,2000,0,4468,1330,0
comparative,2,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_a.txt,tests/maps/input_a.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:21:58Z,2025-08-22T11:22:00Z,2133,0,4492,1330,0
comparative,2,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,2025-08-22T11:22:00Z,2025-08-22T11:22:04Z,3781,0,4488,993,0
comparative,2,GameManager_212788293_212497127.so,tests/GameManagers/GameManager_212788293_212497127.so,input_b.txt,tests/maps/input_b.txt,Algorithm_212788293_212497128.so,tests/Algorithms/Algorithm_212788293_212497128.so,Algorithm_212788293_212497127.so,tests/Algorithms/Algorithm_212788293_212497127.so,2025-08-22T11:22:04Z,2025-08-22T11:22:08Z,3968,0,4564,993,0
